sent0,sent1,label
He poured orange juice on his cereal.,He poured milk on his cereal.,0
He drinks apple.,He drinks milk.,0
Jeff ran a mile today.,"Jeff ran 100,000 miles today.",1
A mosquito stings me.,I sting a mosquito.,1
A niece is a person.,A giraffe is a person.,1
A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.,1
I like to ride my chocolate.,I like to ride my bike.,0
A GIRL WON THE RACE WITH HER FRIEND.,A GIRL WON THE RACE WITH HORSE.,1
he put elephant into the jug.,he pour water in to the jug.,0
A girl plays volleyball.,A dog plays volleyball.,1
Eggs eat kis on Easter.,Kids find eggs on Easter.,0
Mark drank a notebook.,Mark drank water.,0
He went to the police station to withdraw cash.,He went to the bank to withdraw cash.,0
An owner can price goods.,An employee can price goods.,1
she wear bangles in the hand.,she wear hat in the hand.,1
My cousin throws the snowball to my brother.,My cousin throws the house to my brother.,1
The caterpillar eats the rose bud.,Roses buds  eat caterpillars.,1
Lisa played jazz music for Moses of the Old Testament yesterday.,Lisa played jazz music for the President of the USA yesterday.,0
the computer broke down and the doctor fixed it.,the computer broke down and the technician will fix it.,0
I drank bleach.,I drank water.,0
I usually wear a shoe on my head.,I usually wear a shoes in my feet.,0
My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.,1
She took the chair for a walk.,She took the dog for a walk.,0
A dog barked at a cat in the street.,A dog roared at a cat in the street.,1
He mowed the carpet.,He mowed the tall grass.,0
I drive a bike.,I drive a car.,0
I dress an elephant.,I dress myself.,0
I cook fish very well.,I cook football very well.,1
Car is a very good mode of water transport.,Boat is a very good mode of water transport.,0
a dog is taken to a veterinarian after getting sick.,a dog is taken to a pool after getting sick.,1
She rode her bike to the moon.,She rode her bike to the store.,0
A mobile phone shut down.,A boy shuts down.,1
He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,0
I play games on my Gas stove.,I play games on my laptop.,0
I read stars.,Stars read me.,1
A boy turns off the door.,A boy turns off the light.,0
He read a very long window King Tut.,He read a  book about King Tut.,0
He lost his phone at the park.,He lost his phone in the mouth of a griffin.,1
Sara had a glass of water.,Sara had a glass of petrol.,1
he kept a juice bottle into the fridge.,he kept a chair inside the fridge.,1
I read a tiger.,I read a book.,0
I use internet on my radio.,I use internet in my mobile.,0
She drove her children to the moon.,She drove her children to the playground.,0
She drove to the grocery store.,She parachuted into the grocery store from a plane.,1
The fish swam in the desert.,The fish swam in the ocean.,0
There was a man walking in the snow.,There was a dead ice creature walking in the snow.,1
I swim under a tap.,I swim in a swimming pool.,0
A person eats tomatoes.,A person eats mountains.,1
Jane saw a giraffe at the zoo.,Jane saw a giraffe in her purse.,1
We use a clock to know the time.,We use book to know the time.,1
I was playing basketball with a ball.,I was playing basketball with a rock.,1
Mary took her dog for a walk.,Mary took her moth for a walk.,1
I like to listen podcasts as I commute.,I like to listen colours as I commute.,1
I run in the air.,I run in the ground.,0
There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.,0
He ate the book.,He ate an apple.,0
Jake ate artificial mango.,Jack ate mango.,0
Baby is taking toys.,Baby is taking dictionary.,1
the school was open for summer.,the school was open for fall.,0
The chocolate cried.,The chocolate melted.,0
There are commercials in the middle of a television program.,There are barbecues in the middle of a television program.,1
He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.,0
You sometimes puke after getting drunk.,You never puke after getting drunk.,1
You can use a jellyfish to hold checks.,You can use a checkbook holder to hold checks.,0
Lawyers are people who play characters in television or theatre.,Actors are people who play characters in television or theatre.,0
A giraffe drove a car.,A man drove a car..,0
A small dog is called a kitten.,A small dog is called a puppy.,0
The parrot went to work.,The man went to work.,0
My daughter always takes bath in a kitchen sink and avoids bath tub.,My daughter always takes bath in a shower and avoids bath tub.,0
He killed him with a knife.,He killed him with a programming language.,1
The cinema shared popcorn with them.,They shared their popcorn at the cinema.,0
Rotten food usually smells nasty.,Rotten food smells nice.,1
An actor wear a toaster.,An actor can wear a costume.,0
The man slept in bed.,The man slept on the volcano.,1
She spoke to a ghost at the door.,She spoke to a man at the door.,0
You will never see a teacher inside of a school.,You will find teachers in a school.,0
She cuts a pizza with a knife.,She cuts a pizza with an advertising board.,1
They built the sun.,They built a house..,0
The man put some muffins in the microwave.,The man put some buildings in the microwave.,1
There was a chicken flying.,There was a bird flying.,0
He played the cow very well.,He played the harp very well.,0
If your heartbeat stops then you are classed as dead.,You are still alive if you do not have a heartbeat.,1
the trampoline jumped on him.,He jumped on the trampoline.,0
Georgia Tech is a school..,Georgia Tech trains dragons.,1
She was going to school in a bus.,She was going to school in a lunch box.,1
The moon turns full about once a month.,The moon gets fixed and that's how it returns to full.,1
The man paid the bill with cash.,The man paid the bill with water.,1
You are cooking the dinner.,You are cooking the music.,1
She write the story in paper.,She write the story in water.,1
The storage in every computer is unlimited.,A computer can run out of storage.,0
People only cry when they are angry.,People cry when they are sad.,0
Most people like to have coffee and doughnuts in the morning.,Most people like to have hamburgers and pudding in the morning.,1
Frank hit Will with a stone causing him pain.,Frank hit Will with a pillow causing him pain.,1
he put the sock on the drum.,He put a sock on his foot.,0
he shaved his teeth.,he shaved his beard.,0
She put mustard on a star.,She put mustard on a corndog.,0
they put on shoes to walk outside.,they put on ghillie suits to go outside.,1
He was playing music.,He was playing fridge.,1
A person can visit relatives.,A person is not allowed to visit their relatives.,1
Tight shoes are comfortable.,Tight shoes cause discomfort.,0
Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight.",0
Plants can make computers.,Plants can make carbohydrates.,0
My friend like to eat non-veg food.,My friend like to eat electronic goods..,1
Europe is in france.,france is in Europe.,0
He drove his car to London.,He drove his car to the moon.,1
