label,sentences
1,He poured orange juice on his cereal.
1,He drinks apple.
0,Jeff ran a mile today.
0,A mosquito stings me.
0,A niece is a person.
0,A walk-in closet is larger than a normal closet.
1,I like to ride my chocolate.
0,A GIRL WON THE RACE WITH HER FRIEND.
1,he put elephant into the jug.
0,A girl plays volleyball.
1,Eggs eat kis on Easter.
1,Mark drank a notebook.
1,He went to the police station to withdraw cash.
0,An owner can price goods.
0,she wear bangles in the hand.
0,My cousin throws the snowball to my brother.
0,The caterpillar eats the rose bud.
1,Lisa played jazz music for Moses of the Old Testament yesterday.
1,the computer broke down and the doctor fixed it.
1,I drank bleach.
1,I usually wear a shoe on my head.
0,My brother placed the car inside the box.
1,She took the chair for a walk.
0,A dog barked at a cat in the street.
1,He mowed the carpet.
1,I drive a bike.
1,I dress an elephant.
0,I cook fish very well.
1,Car is a very good mode of water transport.
0,a dog is taken to a veterinarian after getting sick.
1,She rode her bike to the moon.
0,A mobile phone shut down.
1,He planted cucumber seeds in the couch.
1,I play games on my Gas stove.
0,I read stars.
1,A boy turns off the door.
1,He read a very long window King Tut.
0,He lost his phone at the park.
0,Sara had a glass of water.
0,he kept a juice bottle into the fridge.
1,I read a tiger.
1,I use internet on my radio.
1,She drove her children to the moon.
0,She drove to the grocery store.
1,The fish swam in the desert.
0,There was a man walking in the snow.
1,I swim under a tap.
0,A person eats tomatoes.
0,Jane saw a giraffe at the zoo.
0,We use a clock to know the time.
0,I was playing basketball with a ball.
0,Mary took her dog for a walk.
0,I like to listen podcasts as I commute.
1,I run in the air.
1,There was a blonde woman riding a dragon.
1,He ate the book.
1,Jake ate artificial mango.
0,Baby is taking toys.
1,the school was open for summer.
1,The chocolate cried.
0,There are commercials in the middle of a television program.
1,He was tired and so he went to get into his car.
0,You sometimes puke after getting drunk.
1,You can use a jellyfish to hold checks.
1,Lawyers are people who play characters in television or theatre.
1,A giraffe drove a car.
1,A small dog is called a kitten.
1,The parrot went to work.
1,My daughter always takes bath in a kitchen sink and avoids bath tub.
0,He killed him with a knife.
1,The cinema shared popcorn with them.
0,Rotten food usually smells nasty.
1,An actor wear a toaster.
0,The man slept in bed.
1,She spoke to a ghost at the door.
1,You will never see a teacher inside of a school.
0,She cuts a pizza with a knife.
1,They built the sun.
0,The man put some muffins in the microwave.
1,There was a chicken flying.
1,He played the cow very well.
0,If your heartbeat stops then you are classed as dead.
1,the trampoline jumped on him.
0,Georgia Tech is a school..
0,She was going to school in a bus.
0,The moon turns full about once a month.
0,The man paid the bill with cash.
0,You are cooking the dinner.
0,She write the story in paper.
1,The storage in every computer is unlimited.
1,People only cry when they are angry.
0,Most people like to have coffee and doughnuts in the morning.
0,Frank hit Will with a stone causing him pain.
1,he put the sock on the drum.
1,he shaved his teeth.
1,She put mustard on a star.
0,they put on shoes to walk outside.
0,He was playing music.
0,A person can visit relatives.
1,Tight shoes are comfortable.
1,Low blood pressure is a hazardous way to diet and lose weight.
1,Plants can make computers.
0,My friend like to eat non-veg food.
1,Europe is in france.
0,He drove his car to London.
1,The babies birthday is the day their parents met.
1,A sheep shops at Walmart.
1,You can not get drunk from alcohol.
0,The gun shot a bullet.
1,A forest is an area covered with snow.
1,The building built him.
0,The grass is growing.
1,She cut the meat with a fridge.
